PubChem CID,IC50 (nM),pIC50,Ligand SMILES
146012011,1.08,8.9666,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)C(=O)c2ccc(Cl)cc2)cc1
136214488,1.09,8.9626,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3C[C@H](C)O[C@H](C)C3)c(C)c2)c2c1cc[nH]c2=O
91754541,1.1,8.9586,Oc1cc(CC(F)(F)F)c(cc1F)-c1ccc2c(n[nH]c2c1)-c1nc2cc(cnc2[nH]1)C(=O)c1cnc(cn1)N1CCCCC1
146012104,1.11,8.9547,CO[C@H](c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)C(=O)OC(C)(C)C)cc1)C(F)(F)F
136214464,1.13,8.9469,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)C2CCNCC2)c2c1cc[nH]c2=O
136214501,1.14,8.9431,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCCOC(C)C3)c(C)c2)c2c1cc[nH]c2=O
146012056,1.15,8.9393,O[C@@H](c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)c2cc(ccn2)C(F)(F)F)cc1)C(F)(F)F
136214467,1.19,8.9245,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)c(C)c2)c2c1cc[nH]c2=O
91669296,1.2,8.9208,CCc1cc(O)c(F)cc1-c1ccc2c(n[nH]c2c1)-c1nc2CN(CCc2[nH]1)S(=O)(=O)c1ccc(F)cc1
136214499,1.23,8.9101,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCOCC(C)C3)c(C)c2)c2c1cc[nH]c2=O
68358847,1.3,8.8861,Cc1cccc(c1)-c1cc2c(N[C@@H]3CCC[C@]3(C)F)c(cnn2c1)C(N)=O
58293091,1.36,8.8665,CN([C@H]1CC[C@H](CS(=O)(=O)N2CC[C@@](O)(CSc3ccccn3)C2)CC1)c1ncnc2[nH]ccc12
51355384,1.44,8.8416,CN([C@H]1CC[C@H](CS(=O)(=O)N2CC[C@@H](C2)NC(=O)OC(C)(C)C)CC1)c1ncnc2[nH]ccc12
135374745,1.49,8.8268,Cn1cnc2c(Nc3ccn(n3)-c3ccccn3)cc(O[C@@H]3CC[C@@H](CC3)NC[C@@H](O)C(F)(F)F)cc12
91754538,1.5,8.8239,CCc1cc(O)c(F)cc1-c1ccc2c(n[nH]c2c1)-c1nc2cc(cnc2[nH]1)C(=O)c1ccc(Oc2ccccc2F)cc1OCC(C)NN
146011995,1.54,8.8125,CN(C)S(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(Cc3cccc4[nH]ccc34)CC2)cc1
58293162,1.55,8.8097,CN([C@H]1CC[C@H](CS(=O)(=O)N2CC(C2)c2nnn[nH]2)CC1)c1ncnc2[nH]ccc12
136214482,1.65,8.7825,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(cc2)C(C)(O)C(F)(F)F)c2c1cc[nH]c2=O
136214500,1.69,8.7721,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCOC4CC34)c(C)c2)c2c1cc[nH]c2=O
146012066,1.71,8.767,Clc1ccc(Nc2nn(c3cc[nH]c(=O)c23)[C@@]2(CC#N)CC[C@@H](CC2)Nc2ccccc2)cc1
136214466,1.73,8.762,CCC1(CCN(CC1)C(=O)OC(C)(C)C)n1nc(Nc2ccc(C(=O)N3CCSCC3)c(c2)C(F)F)c2c1cc[nH]c2=O
136214469,1.79,8.7471,CCc1cc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC)CCN(CC2)C(=O)OC(C)(C)C)ccc1C(=O)N1CCSCC1
58293167,1.8,8.7447,CN([C@H]1CC[C@H](CS(=O)(=O)N2CC[C@@](O)(Cn3cccn3)C2)CC1)c1ncnc2[nH]ccc12
146012075,1.81,8.7423,CN1Cc2cc(Nc3nn(c4cc[nH]c(=O)c34)[C@]3(CC#N)CC[C@@H](CC3)N3CC(F)C3)ccc2S1(=O)=O
117884569,1.9,8.7212,COc1ccc(cn1)C(O)(CN[C@H]1CC[C@@H](CC1)c1nnn2cnc3[nH]ccc3c12)C(F)(F)F
135374779,1.91,8.719,Cn1cnc2c(Nc3cc[nH]n3)cc(O[C@H]3CCC(C)(CC3)NC[C@@H](O)C(F)(F)F)cc12
58293089,1.92,8.7167,CN([C@H]1CC[C@H](CS(=O)(=O)N2CC[C@](O)(C2)c2ccccc2)CC1)c1ncnc2[nH]ccc12
146011985,1.94,8.7122,CC(C)Oc1ccc(CN2CCC(CC#N)(CC2)n2nc(Nc3ccc(cc3)S(=O)(=O)N(C)C)c3c2cc[nH]c3=O)cc1
146011803,1.97,8.7055,FC(F)(F)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCC3(CC2)OCCO3)cc1
89473467,2,8.699,Cc1ccc(NC(=O)N2CC(CC#N)(C2)n2cc(C(N)=O)c(Nc3ccccc3)n2)cc1
146012057,2.01,8.6968,Cc1cc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCN(CC2)c2cc(ccn2)C(F)(F)F)ccc1C(=O)N1CCC(F)(F)CC1
146011841,2.07,8.684,CC(C)N1Cc2ccc(Nc3nn(c4cc[nH]c(=O)c34)C3(CC#N)CCCC3)cc2C1
