PubChem CID,IC50 (nM),pIC50,Ligand SMILES
130323683,2739,5.5624,NC(=O)c1n[nH]c2ccc(cc12)C(=O)N1CCC2(CC1)C(=O)N(CC(=O)NCC(F)(F)F)c1cccc(Cl)c21
117921587,2740,5.5622,CCS(=O)(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2c(CN3CCN(CC3)C(=O)OC(C)(C)C)cc(OC(F)(F)F)cc2c1=O
72195624,2890,5.5391,CCS(=O)c1ccc(Cl)cc1Cn1c(=O)[nH]c2ccc(cc2c1=O)C(F)(F)F
89880021,2950,5.5302,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1nc(C)oc1C(F)(F)F
139030333,3000,5.5229,Nc1c(cnn1-c1ccccc1)C(=O)NCc1ccc(cc1)C(=O)NCCCC1CCCCC1
89879953,3210,5.4935,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(N)c(c1)C(F)(F)F
145713155,3317,5.4793,Cc1noc(n1)[C@@H]1CNC[C@H]1NC(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
118042820,3820,5.4179,CCSc1ccc(OC(F)(F)F)cc1Nn1cnc2c(Br)cc(cc2c1=O)C(F)(F)F
145713162,3862,5.4132,CCn1cc(cn1)N1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
89880058,3870,5.4123,CCS(=O)(=O)c1ccc(Cl)cc1NNC(=O)c1c[nH]nc1C(F)(F)F
117921006,3900,5.4089,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cc(Cl)c(N2CCN(C)CC2)c(OC(F)(F)F)c1
118042745,3900,5.4089,CCS(=O)(=O)c1ccc(cc1Cn1ccc2ccc(OC(F)(F)F)cc2c1=O)C#N
89879972,4220,5.3747,CCc1nc(C)c(o1)C(=O)NNc1cc(Cl)ccc1S(=O)(=O)CC
130323722,4362,5.3603,CCc1cccc2N(CC(=O)NCC(F)(F)F)C(=O)C3(CCN(CC3)C(=O)c3cnc4[nH]ncc4c3)c12
117920700,4490,5.3478,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1ccc(N2CCNCC2)c(c1)C(F)(F)F
155566065,4850,5.3143,CCc1ccc(cc1-c1cccc(c1)-c1cnc2cnccn12)C(=O)Nc1ccccc1
155546853,4879,5.3117,CCc1ccc(cc1-c1cccc(c1)-c1cnc2cnccn12)C(=O)Nc1ccccc1C(F)(F)F
124185549,4914,5.3086,Nc1ncc(cn1)C(=O)N1CCC2(CC1)N(CN(CC(=O)NCC(F)(F)F)C2=O)c1ccccc1
145713184,5019,5.2994,Fc1ccccc1N1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
137637635,5020,5.2993,CN(C)C\C=C\C(=O)Nc1cc(ccc1C)-n1c2c(ccc3ccc(cc23)-c2cnn(C)c2)ccc1=O
89879952,5440,5.2644,CCS(=O)(=O)c1ccc(Cl)cc1CNC(=O)c1cnc(N)c(c1)C(F)(F)F
145713149,7931,5.1007,Cn1nccc1CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]ncc3c2)C1=O
124185531,7988,5.0976,FC(F)(F)CNC(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3nnnn3c2)C1=O
124186156,8210,5.0857,O=C(N1CCC2(CC1)N(CN(C2=O)c1ccc(cc1)C#N)c1ccccc1)c1cnc2[nH]ncc2c1
145713130,8859,5.0526,O=C(CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)c2ccc3[nH]nnc3c2)C1=O)N1CCOCC1
118042869,9130,5.0395,CCSc1ccc(F)cc1Cn1cnc2ccc(cc2c1=O)C(F)(F)F
