PubChem CID,IC50 (nM),pIC50,Ligand SMILES
122452474,312,6.5058,C=CCCn1cc(C#CC(C)(C)C(N)=O)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452244,337,6.4724,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CCCO)c12
122452210,344,6.4634,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1C(=O)OCc1ccccc1C#N
122452279,347,6.4597,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)NC(C)(C)C
137796688,350,6.4559,CN1C=C(c2ccc(C(=O)N3CCOCC3)cc2)C2C=CN=C2C1=O
122442942,353,6.4522,CCOC(=O)c1c(C2CC2)[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
122452470,368,6.4342,C=CCCn1cc(C#CC(C)(C)CO)c2c(C(=O)OCC)c(C)[nH]c2c1=O
122452412,373,6.4283,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)OCc3ccccc3)c12
122452409,375,6.426,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)C(=O)N(C)C)c12
122452392,379,6.4214,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(C)COC3)c12
138375316,390,6.4089,C=CCN1C=C(c2cccc(C(=O)N(C)C)c2)C2=CC=[NH+]C2C1=O
122452483,425,6.3716,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCN(CC)CC3)c12
122452405,429,6.3675,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCNCC3)c12
137796691,440,6.3565,CN1CCC(Cc2cccc(C3=CN(C)C(=O)C4=NC=CC34)c2)CC1
122452475,450,6.3468,CCOC(=O)c1c(C)[nH]c2c(=O)n(CC)cc(C#CC(C)(C)O)c12
122452397,523,6.2815,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)NC(C)=O)c12
138962004,536,6.2708,CC1=CC2C(C#CC(C)(C)O)=CN(C)C(=O)C2=N1
122452240,584,6.2336,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3CCCCC3)c12
122452211,608,6.2161,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(-c4ccccc4OC)c3)C(F)(F)F)c12
122452325,610,6.2147,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)OCc1ccncc1
137796690,680,6.1675,CN1CCC(c2cccc(C3=CN(C)C(=O)C4=NC=CC34)c2)CC1
122452358,699,6.1555,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(Oc4ccccc4)c3)C(F)(F)F)c12
122452232,777,6.1096,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)C)c12
122452403,815,6.0888,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC3(O)CCN(C)CC3)c12
122452212,912,6.04,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3cccc(-c4ccccc4C)c3)C(F)(F)F)c12
122452200,1200,5.9208,Cc1[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c2c1C(=O)OC(C)c1ccccc1
122452330,1260,5.8996,Cc1ccccc1COC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(O)(c3ccccc3)C(F)(F)F)c12
122452416,1320,5.8794,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)C(=O)NC)c12
122452589,1730,5.762,CN(C)C(=O)c1c[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c12
134165231,2250,5.6478,Cc1c(CO)c2c(C#CC(C)(C)O)cn(C)c(=O)c2n1C
122452275,2670,5.5735,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)NC(C)C
138375318,3300,5.4815,CC=CCN1CC(c2ccc(C(=O)N3CCN(C)CC3)cc2)C2CCNC2C1=O
138375319,3500,5.4559,CC=CCN1CC(c2ccc(C(=O)N3CCCC3)cc2)C2CCNC2C1=O
122452304,4110,5.3862,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(C)N)c12
138375320,5700,5.2441,CC=CCN1C=C(c2ccc(C(=O)N(C)C)cc2)C2=CC=[NH+]C2C1=O
122452280,13700,4.8633,Cc1[nH]c2c(=O)n(C)cc(C#CC(C)(C)O)c2c1C(=O)O
122452391,14800,4.8297,CCOC(=O)c1c(C)[nH]c2c(=O)n(C)cc(C#CC(C)(O)CNc3ccccc3)c12
138962005,20000,4.699,CC(=O)C1=C(C)N(C)C2C(=O)N=CC(C#CC(C)(C)O)=C12
